,Unnamed: 0,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
1700,62730,1597295670,453433.3333,328155.0,26.74434333,26.74434333,26.74434333,26.74434333,898.6136133,1.0,1.0,1.0,1.0
2205,83580,1598546670,422166.6667,360446.0,27.71374333,0.0,27.71374333,0.0,588.3752933,1.0,0.001,1.0,0.001
946,34440,1595598270,522600.0,496875.3333,30.81554667,0.0,0.0,0.0,349.9323333,1.0,0.001,0.001,0.001
2002,74730,1598013870,452666.6667,353703.0,27.60484333,27.60484333,0.0,27.60484333,780.34432,1.0,1.0,0.001,1.0
2120,80670,1598372070,451666.6667,369299.3333,27.61426333,0.0,27.61426333,27.61426333,823.5601733,1.0,0.001,1.0,1.0
1387,51120,1596599070,417933.3333,328127.0,29.72624667,29.72624667,0.0,29.72624667,887.59496,1.0,1.0,0.001,1.0
2208,83670,1598552070,428533.3333,368403.3333,27.44299333,0.0,27.44299333,0.0,584.3884667,1.0,0.001,1.0,0.001
1974,73590,1597945470,463066.6667,399768.6667,27.63301667,0.0,27.63301667,0.0,583.24532,1.0,0.001,1.0,0.001
2235,84720,1598615070,427533.3333,348321.3333,27.11010333,0.0,27.11010333,27.11010333,807.8850267,1.0,0.001,1.0,1.0
1830,68190,1597623270,456800.0,347192.6667,27.84024333,27.84024333,0.0,27.84024333,751.64572,1.0,1.0,0.001,1.0
442,16590,1594527270,421800.0,360880.3333,0.0,0.0,25.0,0.0,262.52632,0.001,0.001,1.0,0.001
