,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
13740,1625892270,540133,432262.3333,0,25,0,0,212.0093898,0.001,1,0.001,0.001
13770,1625894070,589642.6667,481857.6667,0,25,0,0,211.771463,0.001,1,0.001,0.001
13800,1625895870,533709.3333,425723.6667,0,25,0,0,211.3135667,0.001,1,0.001,0.001
13830,1625897670,526591.3333,418576.3333,0,25,0,0,211.5348139,0.001,1,0.001,0.001
13860,1625899470,566870,459056.3333,0,25,0,0,208.7245657,0.001,1,0.001,0.001
13890,1625901270,603588,496383.6667,0,25,0,0,207.5833796,0.001,1,0.001,0.001
13920,1625903070,507320,399595,0,25,0,0,210.1073102,0.001,1,0.001,0.001
13950,1625904870,532060.3333,424334,0,25,0,0,205.2798139,0.001,1,0.001,0.001
13980,1625906670,487847.3333,379630.3333,0,25.1,0,0,206.7465639,0.001,1,0.001,0.001
14010,1625908470,373117.6667,257493,0,26,0,0,214.6559537,0.001,1,0.001,0.001
14040,1625910270,363570.6667,247946,0,26,0,0,216.1533546,0.001,1,0.001,0.001
14070,1625912070,367824.3333,252314.3333,0,26,0,0,217.3644194,0.001,1,0.001,0.001
14100,1625913870,370342,261284.6667,0,25.13333333,0,0,132.2408787,0.001,1,0.001,0.001
14130,1625915670,408739,300839.3333,0,25,0,0,68.62724166,0.001,1,0.001,0.001
14160,1625917470,446123,338022,0,25,0,0,160.0113231,0.001,1,0.001,0.001
14190,1625919270,488483.3333,380641.3333,0,25,0,0,207.7520093,0.001,1,0.001,0.001
14220,1625921070,498611.3333,390451.6667,0,25,0,0,95.85371943,0.001,1,0.001,0.001
14250,1625922870,453935,345920,0,25,0,0,83.43590556,0.001,1,0.001,0.001
14280,1625924670,490538,382320.3333,0,25,0,0,209.7137732,0.001,1,0.001,0.001
14310,1625926470,439902.3333,331974.3333,0,25,0,0,209.9982963,0.001,1,0.001,0.001
14340,1625928270,475462.6667,367419,0,25,0,0,97.68420647,0.001,1,0.001,0.001
14400,1625930070,513657.3333,405614,0,25,0,0,211.8397889,0.001,1,0.001,0.001
14910,1625962470,395051.6667,288281.6667,0,25,0,0,205.0976426,0.001,1,0.001,0.001
14940,1625964270,336169,246412.3333,0,25.06507,0,0,227.1629945,0.001,1,0.001,0.001
14970,1625966070,352169.6667,262846.3333,0,25.08593333,0,0,224.7764695,0.001,1,0.001,0.001
15000,1625967870,359868,271007.3333,0,25,0,0,226.3756083,0.001,1,0.001,0.001
